channel,x,y,z,label,region
0,0.684031,0.645242,-0.340242,E1,frontal
1,0.622801,0.782380,0.000715,E2,frontal
2,0.432204,0.847028,0.309424,E3,frontopolar
3,0.319953,0.790093,0.522861,E4,frontal
4,0.169434,0.644278,0.745787,E5,frontal
5,-0.000000,0.442520,0.896759,E6,frontocentral
6,-0.146288,0.179002,0.972912,E7,central
7,0.461831,0.868269,-0.181165,E8,frontopolar
8,0.291098,0.952911,0.084988,E9,frontopolar
9,0.196906,0.930006,0.310351,E10,frontopolar
10,-0.000000,0.857368,0.514703,E11,frontopolar
11,-0.169434,0.644278,0.745787,E12,frontal
12,-0.292132,0.382924,0.876372,E13,frontocentral
13,0.132551,0.982579,-0.130266,E14,frontopolar
14,-0.000000,0.993527,0.113594,E15,frontopolar
15,-0.000000,0.954875,0.297007,E16,frontopolar
16,-0.000000,0.964734,-0.263227,E17,frontopolar
17,-0.196906,0.930006,0.310351,E18,frontopolar
18,-0.319953,0.790093,0.522861,E19,frontal
19,-0.450658,0.596071,0.664536,E20,frontal
20,-0.132551,0.982579,-0.130266,E21,frontopolar
21,-0.291098,0.952911,0.084988,E22,frontopolar
22,-0.432204,0.847028,0.309424,E23,frontopolar
23,-0.525833,0.702752,0.479206,E24,frontal
24,-0.461831,0.868269,-0.181165,E25,frontopolar
25,-0.622801,0.782380,0.000715,E26,frontal
26,-0.690165,0.654877,0.307909,E27,frontal
27,-0.681392,0.503238,0.531467,E28,frontocentral
28,-0.588038,0.325549,0.740425,E29,frontocentral
29,-0.447677,0.108909,0.887538,E30,central
30,-0.229365,-0.087487,0.969401,E31,central
31,-0.684031,0.645242,-0.340242,E32,frontal
32,-0.840874,0.534275,-0.086493,E33,frontocentral
33,-0.884301,0.376716,0.275856,E34,frontocentral
34,-0.808765,0.180129,0.559869,E35,central
35,-0.669077,0.027300,0.742692,E36,central
36,-0.456128,-0.184374,0.870605,E37,centroparietal
37,-0.980983,0.107585,-0.161546,E39,central
38,-0.970311,-0.003838,0.241829,E40,central
39,-0.844203,-0.105429,0.525553,E41,centroparietal
40,-0.693540,-0.279506,0.663987,E42,centroparietal
41,-0.959647,-0.253243,-0.122251,E45,centroparietal
42,-0.918487,-0.296423,0.261752,E46,centroparietal
43,-0.806027,-0.367667,0.463833,E47,centroparietal
44,-0.854694,-0.514759,-0.067236,E50,parietal
45,-0.776321,-0.559738,0.289862,E51,parietal
46,-0.667040,-0.521188,0.532373,E52,parietal
47,-0.471731,-0.461032,0.751611,E53,parietal
48,-0.254354,-0.389382,0.885260,E54,parietal
49,-0.000000,-0.250801,0.968039,E55,centroparietal
50,-0.794558,-0.458947,-0.397548,E57,parietal
51,-0.719648,-0.693702,-0.029755,E58,parieto_occipital
52,-0.594943,-0.742947,0.306712,E59,parieto_occipital
53,-0.460034,-0.684192,0.565906,E60,parieto_occipital
54,-0.259164,-0.612561,0.746728,E61,parietal
55,-0.000000,-0.737848,0.674967,E62,parieto_occipital
56,-0.625747,-0.686838,-0.369722,E64,parieto_occipital
57,-0.534571,-0.844894,-0.019704,E65,occipital
58,-0.401603,-0.860002,0.314820,E66,occipital
59,-0.202930,-0.815814,0.541541,E67,parieto_occipital
60,-0.392272,-0.851987,-0.346757,E69,occipital
61,-0.301239,-0.953524,-0.006819,E70,occipital
62,-0.154159,-0.932531,0.326530,E71,occipital
63,-0.000000,-0.874053,0.485830,E72,occipital
64,-0.124007,-0.938163,-0.323222,E74,occipital
65,-0.000000,-0.999788,0.020595,E75,occipital
66,0.154159,-0.932531,0.326530,E76,occipital
67,0.202930,-0.815814,0.541541,E77,parieto_occipital
68,0.259164,-0.612561,0.746728,E78,parieto_occipital
69,0.254354,-0.389382,0.885260,E79,parietal
70,0.229365,-0.087487,0.969401,E80,central
71,0.124007,-0.938163,-0.323222,E82,occipital
72,0.301239,-0.953524,-0.006819,E83,occipital
73,0.401603,-0.860002,0.314820,E84,occipital
74,0.460034,-0.684192,0.565906,E85,parieto_occipital
75,0.471731,-0.461032,0.751611,E86,parietal
76,0.456128,-0.184374,0.870605,E87,centroparietal
77,0.392272,-0.851987,-0.346757,E89,occipital
78,0.534571,-0.844894,-0.019704,E90,parieto_occipital
79,0.594943,-0.742947,0.306712,E91,parieto_occipital
80,0.667040,-0.521188,0.532373,E92,parietal
81,0.693540,-0.279506,0.663987,E93,centroparietal
82,0.625747,-0.686838,-0.369722,E95,parieto_occipital
83,0.719648,-0.693702,-0.029755,E96,parieto_occipital
84,0.776321,-0.559738,0.289862,E97,parietal
85,0.806027,-0.367667,0.463833,E98,centroparietal
86,0.794558,-0.458947,-0.397548,E100,parietal
87,0.854694,-0.514759,-0.067236,E101,parietal
88,0.918487,-0.296423,0.261752,E102,centroparietal
89,0.844203,-0.105429,0.525553,E103,centroparietal
90,0.669077,0.027300,0.742692,E104,central
91,0.447677,0.108909,0.887538,E105,central
92,0.146288,0.179002,0.972912,E106,central
93,0.959647,-0.253243,-0.122251,E108,centroparietal
94,0.970311,-0.003838,0.241829,E109,central
95,0.808765,0.180129,0.559869,E110,frontocentral
96,0.588038,0.325549,0.740425,E111,frontocentral
97,0.292132,0.382924,0.876372,E112,frontocentral
98,0.980983,0.107585,-0.161546,E115,central
99,0.884301,0.376716,0.275856,E116,frontocentral
100,0.681392,0.503238,0.531467,E117,frontocentral
101,0.450658,0.596071,0.664536,E118,frontocentral
102,0.840874,0.534275,-0.086493,E122,frontocentral
103,0.690165,0.654877,0.307909,E123,frontal
104,0.525833,0.702752,0.479206,E124,frontal
